num_clients,run,avg_completion_time_ms,jfi
1,1,4.404176987009123,1.0
1,2,2.6186290197074413,1.0
1,3,6.085842003813013,1.0
1,4,4.887777991825715,1.0
1,5,4.018074978375807,1.0
5,1,3.7666027899831533,0.9293711688845092
5,2,5.276075203437358,0.9786267938253784
5,3,4.236519808182493,0.8777302353432539
5,4,4.791151196695864,0.5717206513579132
5,5,3.082067798823118,0.8506908325151122
9,1,13.127895447218584,0.7734021084881602
9,2,9.084381667586664,0.7690532963298162
9,3,7.071678662517418,0.6960980737485711
9,4,9.647178444235275,0.7628050747801152
9,5,8.352016664705136,0.7802623496145429
13,1,11.34817184244569,0.7088852556050054
13,2,13.832009771319393,0.6992984940620446
13,3,12.594079148794453,0.7865858255526482
13,4,8.049174688774375,0.773877351952228
13,5,11.793485164302043,0.7695451947597683
17,1,26.102038589990972,0.8313883565869147
17,2,9.723461118376102,0.7684423764667698
17,3,24.078392353497776,0.7615318060041522
17,4,17.3399960005875,0.6448920616269901
17,5,10.19965359078282,0.6322724990726385
21,1,17.780891284235707,0.7938792084867213
21,2,14.308222429549676,0.6684539542710093
21,3,25.373165470747544,0.7875041157371367
21,4,23.308625713633816,0.7787683419204888
21,5,17.355873054059753,0.6480092137342526
25,1,22.332293760264292,0.7535297012297758
25,2,31.234640800394118,0.681431733583408
25,3,21.758596398867667,0.7819587742645633
25,4,33.035212801769376,0.7272738109177367
25,5,14.458849923685193,0.7265300876077229
29,1,28.206374759159598,0.8370054946539335
29,2,20.203312347113187,0.6233097908581097
29,3,41.83744930597986,0.8144446644644758
29,4,21.73867676174268,0.701129598321765
29,5,16.188428794427228,0.6983370077174561
32,1,21.24643812658178,0.7781443550135407
32,2,29.50499824964936,0.7539252113961157
32,3,38.6376006554201,0.830430830101553
32,4,40.22215865643375,0.7182143612699644
32,5,46.09696609441016,0.8305524142535591
